,title,video_id,video_date,video_view,video_like
126,[던파BGM] 에테르나 - 안타나 항구(마을),6NoBvHgXgeU,2021-03-03T08:30:47Z,16029,73
127,[던파BGM] 에테르나 - 필드,0_4ndZ6Avw8,2021-03-03T08:30:47Z,11530,26
128,[던파BGM] 에테르나 - 필드 보스,sfntm2ql4XY,2021-03-03T08:30:47Z,15164,77
129,[던파] 초월의 돌 사용 꿀팁 안내,6JaFmQnRbPk,2021-02-22T07:05:09Z,7712,52
130,[던파?] 내 캐릭터 쓰다듬는 이미지 만들기 꿀팁 안내,dvCi7DFvBiY,2021-02-09T04:51:19Z,25127,338
131,[던파] 시즌 7 Act 13. 차원을 넘어선 의지,VoNtHuD3L94,2021-02-03T08:03:10Z,56802,338
132,[던파] 진(眞) 카오스,RValrfgINFU,2021-02-03T08:02:49Z,108273,275
133,[던파] 진(眞) 엘븐나이트,_d7FCoDDRxo,2021-02-03T08:02:49Z,80452,206
134,[던파] 진(眞) 팔라딘,nNxj9EiM_8Q,2021-02-03T08:02:49Z,77729,160
135,[던파] 진(眞) 드래곤나이트,Js2Ry0HVQvA,2021-02-03T08:02:49Z,103744,272
136,[던파BGM] 아라드 어드벤처 - 토벌전 : 더 오큘러스 부활의 성전 (8 BIT),Pc04HUkyVsw,2021-02-03T04:15:10Z,17431,61
137,[던파BGM] 아라드 어드벤처 - 토벌전 : 추방자의 산맥 (8 BIT),yhY8_LEEihI,2021-02-03T04:15:09Z,71760,368
138,[던파BGM] 아라드 어드벤처 - 설산 (8 BIT),lMFpWz4bVCo,2021-02-03T04:14:44Z,8241,18
139,[던파BGM] 아라드 어드벤처 - 그란플로리스 (8 BIT),smJg9NI6_ME,2021-02-03T04:14:44Z,7764,20
140,[던파OST] 나이트 테마곡 DREAM4U (Vocal by JeongEun),NkfgSjqaLYA,2021-02-03T04:13:59Z,56395,280
141,[던파] 보유 에픽 쉽게 보는 기능 꿀팁 안내,-XuXdvTXqXI,2021-01-26T02:47:08Z,7194,80
142,[던파] 윈터페스티벌 장비 이벤트 꿀팁 안내,o7vdfatfZ48,2021-01-07T10:52:43Z,9594,68
143,[던파] 출동! 아라드 레인저! (30초),gew-V8wz_hU,2021-01-07T06:29:22Z,3053755,197
144,[던파] 2021 윈터 페스티벌 이벤트 (프로모션 영상),xGcXBk3FFtU,2021-01-07T06:29:14Z,1104701,45
145,[던파] 출동! 아라드 레인저!,kkedwlhwcSI,2021-01-07T01:04:03Z,2100892,4065
146,[던파] 진(眞) 스핏파이어,LsDzyO6fvmY,2021-01-06T08:01:00Z,60710,174
147,[던파] 진(眞) 레인저,ZGhtf1jCjPY,2021-01-06T08:01:00Z,75961,297
148,[던파] 시즌 7 Act 12. 검은 연옥 & 산개하는 총성,pNWeY9HQats,2021-01-06T08:01:00Z,57035,170
149,[던파] 진(眞) 메카닉,ECm4vrxQHlQ,2021-01-06T08:01:00Z,64285,192
150,[던파BGM] 검은 연옥 - 암흑 기사 던전,Bq_-qHmV1jg,2021-01-06T08:00:28Z,29003,74
151,[던파BGM] 검은 연옥 - 로스체스트 외곽,s3iR-PbgEr4,2021-01-06T08:00:28Z,23336,76
152,[던파BGM] 검은 연옥 - 혼돈의 문,BTsYrpNGr24,2021-01-06T08:00:28Z,75694,232
153,[던파BGM] 검은 연옥 - 암흑 기사 보스,NLdLggjs69o,2021-01-06T08:00:28Z,24198,59
154,[던파BGM] 검은 연옥 - 암흑 기사 난입,jwkv1094Yx0,2021-01-06T08:00:28Z,24922,111
155,[던파BGM] 검은 연옥 - 로스체스트 외곽 보스,noCn89brRwc,2021-01-06T08:00:28Z,18841,48
156,[던파BGM] 파괴된 체스트 타운,d9_xOCPOum8,2021-01-06T08:00:28Z,28205,122
157,[아트던전] 핸즈인팩토리,FBI_I8RQYR0,2020-12-29T02:34:55Z,5874,95
158,[아트던전] 진케이,9PQm4B7kxis,2020-12-29T02:34:55Z,6353,133
159,[아트던전] 김정기,7RtkyyF6zBk,2020-12-29T02:34:55Z,21167,521
160,[아트던전] 신영훈,1sQxoGGXeyk,2020-12-29T02:34:55Z,5931,129
161,[던파] 오즈마 레이드 티징 영상,fHaZHLUDPWg,2020-12-26T12:33:59Z,58210,174
162,[던파] 홍옥의 저주 확장 플레이 영상,-M1oCzYLEg4,2020-12-20T10:16:12Z,15735,21
163,[던파] 진 스핏파이어 플레이 영상,gXwC6ikziP8,2020-12-20T10:16:10Z,124743,486
