,weapon,job,weapon_name,weapon_ratio,weapon_count,weapon_percent,new_name
131,"근원을 삼킨 도
126 (1.301%)",다크나이트,근원을 삼킨 도,126 (1.301%),126,(1.301%),근원 무기
132,"근원을 삼킨 빗자루
730 (10.473%)",크리에이터,근원을 삼킨 빗자루,730 (10.473%),730,(10.473%),근원 무기
133,"결전의 빗자루 - 크리에이터
185 (2.654%)",크리에이터,결전의 빗자루 - 크리에이터,185 (2.654%),185,(2.654%),결전 무기
134,"근원을 삼킨 투창
1,873 (9.836%)",에레보스,근원을 삼킨 투창,"1,873 (9.836%)",1873,(9.836%),근원 무기
135,"결전의 투창 - 다크 랜서
627 (3.293%)",에레보스,결전의 투창 - 다크 랜서,627 (3.293%),627,(3.293%),결전 무기
136,"근원을 삼킨 광창
857 (8.294%)",제노사이더,근원을 삼킨 광창,857 (8.294%),857,(8.294%),근원 무기
137,"결전의 광창 - 드래고니안 랜서
501 (4.849%)",제노사이더,결전의 광창 - 드래고니안 랜서,501 (4.849%),501,(4.849%),결전 무기
138,"근원을 삼킨 장창
595 (9.159%)",듀란달,근원을 삼킨 장창,595 (9.159%),595,(9.159%),근원 무기
139,"결전의 장창 - 듀얼리스트
304 (4.680%)",듀란달,결전의 장창 - 듀얼리스트,304 (4.680%),304,(4.680%),결전 무기
140,"근원을 삼킨 미늘창
976 (9.297%)",워로드,근원을 삼킨 미늘창,976 (9.297%),976,(9.297%),근원 무기
141,"결전의 미늘창 - 뱅가드
591 (5.630%)",워로드,결전의 미늘창 - 뱅가드,591 (5.630%),591,(5.630%),결전 무기
142,"근원을 삼킨 중검
893 (7.608%)",언터처블,근원을 삼킨 중검,893 (7.608%),893,(7.608%),근원 무기
143,"결전의 중검 - 트러블 슈터
286 (2.437%)",언터처블,결전의 중검 - 트러블 슈터,286 (2.437%),286,(2.437%),결전 무기
144,"근원을 삼킨 장도
899 (6.153%)",갓파더,근원을 삼킨 장도,899 (6.153%),899,(6.153%),근원 무기
145,"결전의 장도 - 히트맨
834 (5.708%)",갓파더,결전의 장도 - 히트맨,834 (5.708%),834,(5.708%),결전 무기
146,"근원을 삼킨 코어 블레이드
320 (5.039%)",패스파인더,근원을 삼킨 코어 블레이드,320 (5.039%),320,(5.039%),근원 무기
147,"결전의 코어 블레이드 - 스페셜리스트
221 (3.480%)",패스파인더,결전의 코어 블레이드 - 스페셜리스트,221 (3.480%),221,(3.480%),결전 무기
148,"근원을 삼킨 소태도
1,703 (6.349%)",레퀴엠,근원을 삼킨 소태도,"1,703 (6.349%)",1703,(6.349%),근원 무기
149,"결전의 소태도 - 요원
1,409 (5.253%)",레퀴엠,결전의 소태도 - 요원,"1,409 (5.253%)",1409,(5.253%),결전 무기
